epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,255.612,0.95573,0.70854,0.94195,0.98198,0.92308,0.96247,0.62815,1.1655,0.70346,1.04993,0.000297232,0.000297232,0.000297232
82,258.071,0.94244,0.73766,0.97995,0.98156,0.92291,0.96312,0.64324,1.14851,0.69298,1.04304,0.000283085,0.000283085,0.000283085
83,260.541,0.91216,0.69113,0.94446,0.98197,0.92215,0.96377,0.63587,1.16431,0.68635,1.04682,0.000268938,0.000268938,0.000268938
84,263.109,0.90978,0.70942,0.94893,0.98336,0.91772,0.96424,0.62867,1.19511,0.68368,1.0484,0.000254791,0.000254791,0.000254791
85,266.34,0.91956,0.67541,0.93585,0.96322,0.92308,0.96495,0.61004,1.21088,0.68089,1.05456,0.000240644,0.000240644,0.000240644
86,269.255,0.92978,0.70456,0.94613,0.9638,0.92021,0.96384,0.62979,1.15961,0.66754,1.04354,0.000226497,0.000226497,0.000226497
87,271.755,0.92476,0.69893,0.92723,0.95929,0.91943,0.962,0.63402,1.1333,0.66718,1.0351,0.000212349,0.000212349,0.000212349
88,274.234,0.91923,0.68489,0.9334,0.95998,0.9171,0.96095,0.64506,1.15069,0.67848,1.03756,0.000198202,0.000198202,0.000198202
89,276.774,0.93817,0.68879,0.92503,0.96189,0.91292,0.96095,0.62399,1.18649,0.67504,1.04311,0.000184055,0.000184055,0.000184055
90,280.279,0.92817,0.73684,0.94771,0.97182,0.90003,0.96121,0.62616,1.19426,0.67877,1.04425,0.000169908,0.000169908,0.000169908
91,286.145,0.94231,0.84725,0.92448,0.97117,0.90199,0.96039,0.63337,1.16578,0.6918,1.03707,0.000155761,0.000155761,0.000155761
92,290.068,0.95191,0.83431,0.96467,0.97967,0.92287,0.96114,0.6403,1.1472,0.7031,1.03459,0.000141614,0.000141614,0.000141614
93,294.242,0.9634,0.82072,0.95438,0.97944,0.92308,0.96154,0.64395,1.15385,0.71145,1.03707,0.000127467,0.000127467,0.000127467
94,296.882,0.9103,0.80459,0.91633,0.978,0.92308,0.96242,0.62077,1.19514,0.71435,1.05408,0.00011332,0.00011332,0.00011332
95,299.303,0.88411,0.76685,0.93469,0.97899,0.9285,0.96092,0.61544,1.22608,0.71817,1.06238,9.91726e-05,9.91726e-05,9.91726e-05
96,301.77,0.87886,0.7532,0.92839,0.98007,0.93342,0.96059,0.60321,1.23373,0.71094,1.06445,8.50255e-05,8.50255e-05,8.50255e-05
97,304.155,0.90565,0.76509,0.94213,0.98136,0.93243,0.96174,0.60624,1.22879,0.70988,1.064,7.08784e-05,7.08784e-05,7.08784e-05
98,307.86,0.8981,0.7623,0.93845,0.98184,0.93289,0.96298,0.62013,1.20173,0.68577,1.05889,5.67313e-05,5.67313e-05,5.67313e-05
99,310.405,0.86655,0.74502,0.91947,0.98219,0.9329,0.96199,0.62403,1.1876,0.67952,1.052,4.25842e-05,4.25842e-05,4.25842e-05
100,312.925,0.85578,0.71136,0.93523,0.97409,0.91863,0.96131,0.6226,1.18223,0.67607,1.04959,2.84371e-05,2.84371e-05,2.84371e-05
